"code.source","code.target","Relationship","adjustment","group.id"
5532,5530,"n:1","1988 to 1976",1
5533,5530,"n:1","1988 to 1976",1
5534,5530,"n:1","1988 to 1976",1
5611,561,"n:1","1988 to 1976",1
5612,561,"n:1","1988 to 1976",1
5613,561,"n:1","1988 to 1976",1
5619,561,"n:1","1988 to 1976",1
5641,5643,"n:1","1988 to 1976",NA
5642,5643,"n:1","1988 to 1976",NA
5645,5645,"1:1","1988 to 1976",NA
5646,5649,"n:1","1988 to 1976",NA
5647,5649,"n:1","1988 to 1976",NA
5648,5649,"n:1","1988 to 1976",NA
5661,488,"n:n","1988 to 1976",1
5661,5461,"n:n","1988 to 1976",1
5661,5659,"n:n","1988 to 1976",1
5661,9801,"n:n","1988 to 1976",1
5661,9809,"n:n","1988 to 1976",1
5669,488,"n:n","1988 to 1976",1
5669,5461,"n:n","1988 to 1976",1
5669,5659,"n:n","1988 to 1976",1
5669,9801,"n:n","1988 to 1976",1
5669,9809,"n:n","1988 to 1976",1
5671,488,"n:n","1988 to 1976",1
5671,5651,"1:n","1988 to 1976",1
5671,9809,"n:n","1988 to 1976",1
5672,5461,"n:n","1988 to 1976",1
5672,5659,"n:n","1988 to 1976",1
5673,5461,"n:n","1988 to 1976",1
5673,5659,"n:n","1988 to 1976",1
5674,5461,"n:n","1988 to 1976",1
5674,5659,"n:n","1988 to 1976",1
5675,5659,"n:1","1988 to 1976",1
5676,488,"n:n","1988 to 1976",1
5676,5659,"n:n","1988 to 1976",1
5676,9801,"n:n","1988 to 1976",1
5676,9809,"n:n","1988 to 1976",1
5677,9809,"n:1","1988 to 1976",1
5679,488,"n:n","1988 to 1976",1
5679,5659,"n:n","1988 to 1976",1
5679,9801,"n:n","1988 to 1976",1
5679,9809,"n:n","1988 to 1976",1
5711,5711,"n:1","1988 to 1976",1
5712,5712,"n:1","1988 to 1976",1
5712,5839,"n:1","1988 to 1976",1
5719,5839,"n:1","1988 to 1976",1
5721,5721,"n:1","1988 to 1976",1
5722,5722,"n:1","1988 to 1976",1
5729,5729,"n:1","1988 to 1976",1
5742,58261,"1:1","1988 to 1976",NA
5751,5751,"1:1","1988 to 1976",NA
5752,5752,"n:1","1988 to 1976",1
