"code.target","code.source","Relationship","adjustment","group.id"
60120,29261,"n:1","1992 to 1988",44
60210,29269,"n:1","1992 to 1988",45
60220,29269,"n:1","1992 to 1988",45
60230,29269,"n:1","1992 to 1988",45
60240,29269,"n:1","1992 to 1988",45
60291,29269,"n:1","1992 to 1988",45
60299,29269,"n:1","1992 to 1988",45
60310,29271,"n:1","1992 to 1988",46
60390,29271,"n:1","1992 to 1988",46
60410,29272,"n:1","1992 to 1988",47
60491,29272,"n:1","1992 to 1988",47
60499,29272,"n:1","1992 to 1988",47
70110,541,"n:1","1992 to 1988",48
70190,541,"n:1","1992 to 1988",48
70200,544,"1:1","1992 to 1988",NA
70310,5451,"1:1","1992 to 1988",NA
70320,5452,"n:1","1992 to 1988",49
70390,5452,"n:1","1992 to 1988",49
70410,5453,"n:1","1992 to 1988",50
70420,5453,"n:1","1992 to 1988",50
70490,5453,"n:1","1992 to 1988",50
70511,5454,"n:1","1992 to 1988",51
70519,5454,"n:1","1992 to 1988",51
70521,5454,"n:1","1992 to 1988",51
70529,5454,"n:1","1992 to 1988",51
70610,5455,"n:1","1992 to 1988",52
70690,5455,"n:1","1992 to 1988",52
70700,5456,"1:1","1992 to 1988",NA
70810,5457,"n:1","1992 to 1988",53
70820,5457,"n:1","1992 to 1988",53
70890,5457,"n:1","1992 to 1988",53
70910,5459,"n:1","1992 to 1988",54
70920,5459,"n:1","1992 to 1988",54
70930,5459,"n:1","1992 to 1988",54
70940,5459,"n:1","1992 to 1988",54
70951,5458,"n:1","1992 to 1988",55
70952,5458,"n:1","1992 to 1988",55
70960,5459,"n:1","1992 to 1988",54
70970,5459,"n:1","1992 to 1988",54
70990,5459,"n:1","1992 to 1988",54
71010,5469,"n:1","1992 to 1988",56
71021,5469,"n:1","1992 to 1988",56
71022,5469,"n:1","1992 to 1988",56
71029,5469,"n:1","1992 to 1988",56
71030,5469,"n:1","1992 to 1988",56
71040,5461,"1:1","1992 to 1988",NA
71080,5469,"n:1","1992 to 1988",56
71090,5469,"n:1","1992 to 1988",56
71110,547,"n:1","1992 to 1988",57
71120,547,"n:1","1992 to 1988",57
71130,547,"n:1","1992 to 1988",57
71140,547,"n:1","1992 to 1988",57
71190,547,"n:1","1992 to 1988",57
71210,5611,"n:n","1992 to 1988",58
71210,5619,"n:n","1992 to 1988",58
71220,5612,"1:1","1992 to 1988",NA
71230,5613,"1:1","1992 to 1988",NA
71290,5611,"n:n","1992 to 1988",58
71290,5619,"n:n","1992 to 1988",58
71310,5421,"1:1","1992 to 1988",NA
71320,5422,"1:1","1992 to 1988",NA
71331,5423,"n:1","1992 to 1988",59
71332,5423,"n:1","1992 to 1988",59
71333,5423,"n:1","1992 to 1988",59
71339,5423,"n:1","1992 to 1988",59
71340,5424,"1:1","1992 to 1988",NA
71350,5425,"1:1","1992 to 1988",NA
71390,5429,"1:1","1992 to 1988",NA
71410,5481,"n:1","1992 to 1988",60
71420,5483,"n:1","1992 to 1988",60
71490,5483,"n:1","1992 to 1988",60
80110,5771,"1:1","1992 to 1988",NA
80120,5772,"1:1","1992 to 1988",NA
80130,5773,"1:1","1992 to 1988",NA
80211,5774,"n:1","1992 to 1988",61
80212,5774,"n:1","1992 to 1988",61
80221,5775,"n:1","1992 to 1988",62
80222,5775,"n:1","1992 to 1988",62
80231,5776,"n:1","1992 to 1988",63
80232,5776,"n:1","1992 to 1988",63
80240,5777,"1:1","1992 to 1988",NA
80250,5778,"1:1","1992 to 1988",NA
80290,5779,"1:1","1992 to 1988",NA
80300,573,"1:1","1992 to 1988",NA
80410,5796,"1:1","1992 to 1988",NA
80420,576,"1:1","1992 to 1988",NA
80430,5795,"1:1","1992 to 1988",NA
80440,5797,"n:1","1992 to 1988",64
80450,5797,"n:1","1992 to 1988",64
80510,5711,"1:1","1992 to 1988",NA
80520,5712,"1:1","1992 to 1988",NA
80530,5721,"n:1","1992 to 1988",65
80540,5722,"1:1","1992 to 1988",NA
80590,5721,"n:n","1992 to 1988",65
80590,5729,"1:n","1992 to 1988",65
80610,5751,"1:1","1992 to 1988",NA
80620,5752,"1:1","1992 to 1988",NA
80710,5791,"n:1","1992 to 1988",66
80720,5791,"n:1","1992 to 1988",66
80810,574,"1:1","1992 to 1988",NA
80820,5792,"1:1","1992 to 1988",NA
80910,5793,"n:1","1992 to 1988",67
80920,5793,"n:1","1992 to 1988",67
80930,5793,"n:1","1992 to 1988",67
80940,5793,"n:1","1992 to 1988",67
81010,5794,"n:1","1992 to 1988",68
81020,5794,"n:1","1992 to 1988",68
81030,5794,"n:n","1992 to 1988",68
81030,5798,"n:n","1992 to 1988",68
81040,5794,"n:1","1992 to 1988",68
81090,5794,"n:n","1992 to 1988",68
81090,5798,"n:n","1992 to 1988",68
81110,5831,"1:1","1992 to 1988",NA
81120,5832,"1:1","1992 to 1988",NA
81190,5839,"1:1","1992 to 1988",NA
81210,5821,"n:1","1992 to 1988",69
81220,5821,"n:1","1992 to 1988",69
81290,5821,"n:1","1992 to 1988",69
81310,5799,"n:1","1992 to 1988",70
81320,5799,"n:1","1992 to 1988",70
81330,5799,"n:1","1992 to 1988",70
