"code.source","code.target","Relationship","adjustment","group.id"
130190,2922,"n:1","1992 to 1988",NA
130211,2929,"n:n","1992 to 1988",1
130211,5414,"n:n","1992 to 1988",1
130211,5513,"n:n","1992 to 1988",1
130212,2929,"n:n","1992 to 1988",1
130212,5513,"n:n","1992 to 1988",1
130213,2929,"n:n","1992 to 1988",1
130213,5513,"n:n","1992 to 1988",1
130214,2929,"n:n","1992 to 1988",1
130214,5513,"n:n","1992 to 1988",1
130219,2929,"n:n","1992 to 1988",1
130219,5513,"n:n","1992 to 1988",1
130220,2929,"n:1","1992 to 1988",1
130231,2929,"n:1","1992 to 1988",1
130232,2929,"n:1","1992 to 1988",1
130239,2929,"n:1","1992 to 1988",1
140110,2923,"n:1","1992 to 1988",NA
140120,2923,"n:1","1992 to 1988",NA
140190,2923,"n:1","1992 to 1988",NA
140210,2929,"n:1","1992 to 1988",1
140291,2929,"n:1","1992 to 1988",1
140299,2929,"n:1","1992 to 1988",1
140310,2929,"n:1","1992 to 1988",1
140390,2929,"n:1","1992 to 1988",1
140410,2929,"n:1","1992 to 1988",1
140420,2632,"1:1","1992 to 1988",NA
140490,2929,"n:1","1992 to 1988",1
150100,4112,"1:1","1992 to 1988",NA
150200,4113,"n:1","1992 to 1988",NA
150300,4113,"n:1","1992 to 1988",NA
150410,4111,"n:1","1992 to 1988",NA
150420,4111,"n:1","1992 to 1988",NA
150430,4111,"n:1","1992 to 1988",NA
150510,4113,"n:1","1992 to 1988",NA
150590,4113,"n:1","1992 to 1988",NA
150600,4113,"n:1","1992 to 1988",NA
150710,4211,"n:1","1992 to 1988",NA
150790,4211,"n:1","1992 to 1988",NA
150810,4213,"n:1","1992 to 1988",NA
150890,4213,"n:1","1992 to 1988",NA
150910,4214,"n:1","1992 to 1988",NA
150990,4214,"n:1","1992 to 1988",NA
151000,4214,"n:1","1992 to 1988",NA
151110,4222,"n:1","1992 to 1988",NA
151190,4222,"n:1","1992 to 1988",NA
151211,4215,"n:1","1992 to 1988",NA
151219,4215,"n:1","1992 to 1988",NA
151221,4212,"n:1","1992 to 1988",NA
151229,4212,"n:1","1992 to 1988",NA
151311,4223,"n:1","1992 to 1988",NA
151319,4223,"n:1","1992 to 1988",NA
