"code.source","code.target","Relationship","adjustment","group.id"
30495,30495,"1:1","2022 to 2017",NA
30496,30496,"1:1","2022 to 2017",NA
30497,30497,"1:1","2022 to 2017",NA
30499,30499,"1:1","2022 to 2017",NA
30520,30520,"1:1","2022 to 2017",NA
30531,30531,"1:1","2022 to 2017",NA
30532,30532,"1:1","2022 to 2017",NA
30539,30539,"1:1","2022 to 2017",NA
30541,30541,"1:1","2022 to 2017",NA
30542,30542,"1:1","2022 to 2017",NA
30543,30543,"1:1","2022 to 2017",NA
30544,30544,"1:1","2022 to 2017",NA
30549,30549,"1:1","2022 to 2017",NA
30551,30551,"1:1","2022 to 2017",NA
30552,30552,"1:1","2022 to 2017",NA
30553,30553,"1:1","2022 to 2017",NA
30554,30554,"1:1","2022 to 2017",NA
30559,30559,"1:1","2022 to 2017",NA
30561,30561,"1:1","2022 to 2017",NA
30562,30562,"1:1","2022 to 2017",NA
30563,30563,"1:1","2022 to 2017",NA
30564,30564,"1:1","2022 to 2017",NA
30569,30569,"1:1","2022 to 2017",NA
30571,30571,"1:1","2022 to 2017",NA
30572,30572,"1:1","2022 to 2017",NA
30579,30579,"1:1","2022 to 2017",NA
30611,30611,"1:1","2022 to 2017",NA
30612,30612,"1:1","2022 to 2017",NA
30614,30614,"1:1","2022 to 2017",NA
30615,30615,"1:1","2022 to 2017",NA
30616,30616,"1:1","2022 to 2017",NA
30617,30617,"1:1","2022 to 2017",NA
30619,30619,"n:1","2022 to 2017",2
30631,30631,"1:1","2022 to 2017",NA
30632,30632,"1:1","2022 to 2017",NA
30633,30633,"1:1","2022 to 2017",NA
30634,30634,"1:1","2022 to 2017",NA
30635,30635,"1:1","2022 to 2017",NA
30636,30636,"1:1","2022 to 2017",NA
30639,30639,"n:1","2022 to 2017",2
30691,30691,"1:1","2022 to 2017",NA
30692,30692,"1:1","2022 to 2017",NA
30693,30693,"1:1","2022 to 2017",NA
30694,30694,"1:1","2022 to 2017",NA
30695,30695,"1:1","2022 to 2017",NA
30699,30699,"n:1","2022 to 2017",2
30711,30711,"1:1","2022 to 2017",NA
30712,30712,"1:1","2022 to 2017",NA
30719,30719,"1:1","2022 to 2017",NA
30721,30721,"1:n","2022 to 2017",2
30721,30791,"n:n","2022 to 2017",2
30722,30722,"1:n","2022 to 2017",2
30722,30792,"n:n","2022 to 2017",2
30729,30729,"1:n","2022 to 2017",2
30729,30799,"n:n","2022 to 2017",2
30731,30731,"1:1","2022 to 2017",NA
30732,30732,"1:1","2022 to 2017",NA
30739,30739,"1:1","2022 to 2017",NA
30742,30742,"1:1","2022 to 2017",NA
30743,30743,"1:1","2022 to 2017",NA
30749,30749,"1:1","2022 to 2017",NA
30751,30751,"1:1","2022 to 2017",NA
30752,30752,"1:1","2022 to 2017",NA
30759,30759,"1:1","2022 to 2017",NA
30760,30760,"1:1","2022 to 2017",NA
30771,30771,"1:1","2022 to 2017",NA
30772,30772,"1:1","2022 to 2017",NA
30779,30779,"1:1","2022 to 2017",NA
30781,30781,"1:1","2022 to 2017",NA
30782,30782,"1:1","2022 to 2017",NA
30783,30783,"1:1","2022 to 2017",NA
30784,30784,"1:1","2022 to 2017",NA
30787,30787,"1:1","2022 to 2017",NA
30788,30788,"1:1","2022 to 2017",NA
30791,30791,"n:1","2022 to 2017",2
30792,30792,"n:1","2022 to 2017",2
30799,30799,"n:1","2022 to 2017",2
30811,30811,"1:1","2022 to 2017",NA
30812,30812,"1:1","2022 to 2017",NA
30819,30819,"1:1","2022 to 2017",NA
30821,30821,"1:1","2022 to 2017",NA
30822,30822,"1:1","2022 to 2017",NA
30829,30829,"1:1","2022 to 2017",NA
30830,30830,"1:1","2022 to 2017",NA
30890,30890,"n:1","2022 to 2017",2
30910,30510,"1:1","2022 to 2017",NA
30990,30619,"n:n","2022 to 2017",2
30990,30639,"n:n","2022 to 2017",2
30990,30699,"n:n","2022 to 2017",2
30990,30791,"n:n","2022 to 2017",2
30990,30792,"n:n","2022 to 2017",2
30990,30799,"n:n","2022 to 2017",2
30990,30890,"n:n","2022 to 2017",2
40110,40110,"1:1","2022 to 2017",NA
40120,40120,"1:1","2022 to 2017",NA
40140,40140,"1:1","2022 to 2017",NA
40150,40150,"1:1","2022 to 2017",NA
40210,40210,"1:1","2022 to 2017",NA
40221,40221,"1:1","2022 to 2017",NA
40229,40229,"1:1","2022 to 2017",NA
40291,40291,"1:1","2022 to 2017",NA
40299,40299,"1:1","2022 to 2017",NA
40320,40310,"1:n","2022 to 2017",1
40320,190190,"n:n","2022 to 2017",1
40390,40390,"1:1","2022 to 2017",NA
40410,40410,"1:1","2022 to 2017",NA
40490,40490,"1:1","2022 to 2017",NA
40510,40510,"1:1","2022 to 2017",NA
40520,40520,"1:1","2022 to 2017",NA
40590,40590,"1:1","2022 to 2017",NA
40610,40610,"1:1","2022 to 2017",NA
40620,40620,"1:1","2022 to 2017",NA
40630,40630,"1:1","2022 to 2017",NA
40640,40640,"1:1","2022 to 2017",NA
40690,40690,"1:1","2022 to 2017",NA
40711,40711,"1:1","2022 to 2017",NA
40719,40719,"1:1","2022 to 2017",NA
40721,40721,"1:1","2022 to 2017",NA
40729,40729,"1:1","2022 to 2017",NA
40790,40790,"1:1","2022 to 2017",NA
40811,40811,"1:1","2022 to 2017",NA
40819,40819,"1:1","2022 to 2017",NA
40891,40891,"1:1","2022 to 2017",NA
40899,40899,"1:1","2022 to 2017",NA
40900,40900,"1:1","2022 to 2017",NA
41010,20890,"n:n","2022 to 2017",1
41010,21099,"n:n","2022 to 2017",1
41010,41000,"n:n","2022 to 2017",1
41090,41000,"n:1","2022 to 2017",1
50100,50100,"1:1","2022 to 2017",NA
50210,50210,"1:1","2022 to 2017",NA
50290,50290,"1:1","2022 to 2017",NA
50400,50400,"1:1","2022 to 2017",NA
50510,50510,"1:1","2022 to 2017",NA
50590,50590,"1:1","2022 to 2017",NA
50610,50610,"1:1","2022 to 2017",NA
50690,50690,"1:1","2022 to 2017",NA
50710,50710,"1:1","2022 to 2017",NA
50790,50790,"1:1","2022 to 2017",NA
50800,50800,"1:1","2022 to 2017",NA
51000,51000,"1:1","2022 to 2017",NA
51110,51110,"1:1","2022 to 2017",NA
