"code.target","code.source","Relationship","adjustment","group.id"
6597,89921,"1:n","1976 to 1962",NA
6611,6611,"1:1","1976 to 1962",NA
6612,6612,"1:1","1976 to 1962",NA
6631,66311,"1:n","1976 to 1962",NA
6631,66312,"1:n","1976 to 1962",NA
6632,6632,"1:1","1976 to 1962",NA
6635,6635,"1:1","1976 to 1962",NA
6637,6637,"1:1","1976 to 1962",NA
6642,6642,"1:1","1976 to 1962",NA
6643,6643,"1:1","1976 to 1962",NA
6644,6644,"1:1","1976 to 1962",NA
6645,6645,"1:1","1976 to 1962",NA
6646,6646,"1:1","1976 to 1962",NA
6647,6647,"1:1","1976 to 1962",NA
6648,6648,"1:1","1976 to 1962",NA
6652,6652,"1:1","1976 to 1962",NA
6664,6664,"1:1","1976 to 1962",NA
6665,6665,"1:1","1976 to 1962",NA
6666,6666,"1:1","1976 to 1962",NA
6671,6671,"1:1","1976 to 1962",NA
6673,6673,"1:1","1976 to 1962",NA
6674,6674,"1:1","1976 to 1962",NA
6712,6711,"1:n","1976 to 1962",NA
6712,6712,"1:n","1976 to 1962",NA
6747,6747,"1:1","1976 to 1962",NA
6781,6781,"1:1","1976 to 1962",NA
6782,6729,"1:n","1976 to 1962",NA
6782,6782,"1:n","1976 to 1962",NA
6783,6783,"1:1","1976 to 1962",NA
6784,6784,"1:1","1976 to 1962",NA
6785,6785,"1:1","1976 to 1962",NA
6793,6793,"1:1","1976 to 1962",NA
6831,6831,"1:1","1976 to 1962",NA
6841,6841,"1:1","1976 to 1962",NA
6861,6861,"1:1","1976 to 1962",NA
6871,6871,"1:1","1976 to 1962",NA
6880,6880,"1:1","1976 to 1962",NA
6911,6911,"n:1","1976 to 1962",145
6912,6912,"n:1","1976 to 1962",145
6932,6932,"1:1","1976 to 1962",NA
6951,6951,"1:1","1976 to 1962",NA
6992,6983,"1:1","1976 to 1962",NA
7111,711,"n:n","1976 to 1962",22
7111,7111,"n:1","1976 to 1962",22
7111,8191,"n:n","1976 to 1962",22
7112,711,"n:n","1976 to 1962",22
7112,7112,"n:1","1976 to 1962",22
7112,8191,"n:n","1976 to 1962",22
7113,711,"n:n","1976 to 1962",22
7113,8191,"n:n","1976 to 1962",22
7126,71131,"1:1","1976 to 1962",NA
7129,71132,"1:1","1976 to 1962",NA
7132,7115,"n:1","1976 to 1962",152
7138,7115,"n:1","1976 to 1962",152
7139,7115,"n:1","1976 to 1962",152
7144,71142,"n:1","1976 to 1962",153
7161,7221,"n:1","1976 to 1962",154
7163,7221,"n:1","1976 to 1962",154
7169,7222,"n:1","1976 to 1962",155
7187,7117,"1:1","1976 to 1962",NA
7223,7125,"n:1","1976 to 1962",162
7224,7125,"n:1","1976 to 1962",162
7231,7231,"1:1","1976 to 1962",NA
7232,7232,"1:1","1976 to 1962",NA
7233,71841,"1:1","1976 to 1962",NA
7239,71842,"n:1","1976 to 1962",163
7248,7172,"1:1","1976 to 1962",NA
7252,71812,"n:1","1976 to 1962",171
7367,7151,"n:1","1976 to 1962",179
7368,71954,"n:1","1976 to 1962",177
7369,71954,"n:1","1976 to 1962",177
7411,71911,"1:1","1976 to 1962",NA
7412,71913,"1:1","1976 to 1962",NA
7415,71912,"1:1","1976 to 1962",NA
7416,71919,"1:1","1976 to 1962",NA
7421,71921,"n:1","1976 to 1962",184
7422,71921,"n:1","1976 to 1962",184
7423,71921,"n:1","1976 to 1962",184
7429,71921,"n:1","1976 to 1962",184
7431,71922,"n:1","1976 to 1962",185
7432,71922,"n:1","1976 to 1962",185
7433,71922,"n:1","1976 to 1962",185
7434,71922,"n:1","1976 to 1962",185
7435,71231,"n:n","1976 to 1962",186
7435,71923,"n:n","1976 to 1962",186
7436,71231,"n:n","1976 to 1962",186
7436,71923,"n:n","1976 to 1962",186
7439,71231,"n:n","1976 to 1962",186
7439,71923,"n:n","1976 to 1962",186
7449,71931,"n:1","1976 to 1962",188
7491,7197,"1:1","1976 to 1962",NA
7492,71992,"1:1","1976 to 1962",NA
7493,71993,"1:1","1976 to 1962",NA
7521,7142,"n:n","1976 to 1962",23
7521,7143,"n:n","1976 to 1962",23
7521,7521,"1:1","1976 to 1962",NA
7522,7142,"n:n","1976 to 1962",23
7522,7143,"n:n","1976 to 1962",23
7522,7522,"1:1","1976 to 1962",NA
7523,7142,"n:n","1976 to 1962",23
7523,7143,"n:n","1976 to 1962",23
7523,7523,"1:1","1976 to 1962",NA
7524,7142,"n:n","1976 to 1962",23
7524,7143,"n:n","1976 to 1962",23
7524,7524,"1:1","1976 to 1962",NA
7525,7142,"n:n","1976 to 1962",23
7525,7143,"n:n","1976 to 1962",23
7525,7525,"1:1","1976 to 1962",NA
7526,7529,"n:1","1976 to 1962",23
7528,7142,"n:n","1976 to 1962",23
7528,7143,"n:n","1976 to 1962",23
7528,7529,"n:1","1976 to 1962",23
7599,71492,"n:1","1976 to 1962",195
7611,7241,"n:1","1976 to 1962",196
7612,7241,"n:1","1976 to 1962",196
7621,7242,"n:1","1976 to 1962",196
7622,7242,"n:1","1976 to 1962",196
7628,7242,"n:1","1976 to 1962",196
7641,72491,"n:1","1976 to 1962",196
7642,72492,"n:1","1976 to 1962",196
7643,7241,"n:n","1976 to 1962",196
7643,7242,"n:n","1976 to 1962",196
7721,7222,"n:1","1976 to 1962",155
7722,7222,"n:1","1976 to 1962",155
7723,7222,"n:1","1976 to 1962",155
7731,7231,"1:1","1976 to 1962",NA
7741,7261,"1:1","1976 to 1962",NA
7742,7262,"1:1","1976 to 1962",NA
7753,71962,"n:1","1976 to 1962",190
7754,72504,"1:1","1976 to 1962",NA
7761,7293,"n:1","1976 to 1962",203
7762,7293,"n:1","1976 to 1962",203
7763,7293,"n:1","1976 to 1962",203
7764,7293,"n:1","1976 to 1962",203
7784,7296,"1:1","1976 to 1962",NA
7810,7321,"1:1","1976 to 1962",NA
7821,7323,"1:1","1976 to 1962",NA
7822,7324,"1:1","1976 to 1962",NA
7831,7322,"1:1","1976 to 1962",NA
7832,7325,"1:1","1976 to 1962",NA
7841,7326,"n:n","1976 to 1962",206
7841,7327,"n:n","1976 to 1962",206
7841,73281,"n:n","1976 to 1962",206
7842,7326,"n:n","1976 to 1962",206
7842,7327,"n:n","1976 to 1962",206
7842,73281,"n:n","1976 to 1962",206
7849,73289,"1:1","1976 to 1962",NA
7851,73291,"1:1","1976 to 1962",NA
7852,73311,"1:1","1976 to 1962",NA
7911,7312,"1:1","1976 to 1962",NA
7912,7311,"1:n","1976 to 1962",NA
7912,7313,"1:n","1976 to 1962",NA
7913,7314,"1:1","1976 to 1962",NA
7914,7315,"1:1","1976 to 1962",NA
7921,7341,"n:1","1976 to 1962",209
7922,7341,"n:1","1976 to 1962",209
7923,7341,"n:1","1976 to 1962",209
7924,7341,"n:1","1976 to 1962",209
7929,73492,"1:1","1976 to 1962",NA
7931,7351,"1:1","1976 to 1962",NA
7933,7358,"1:1","1976 to 1962",NA
8111,8111,"1:1","1976 to 1962",NA
8112,8112,"1:1","1976 to 1962",NA
8119,8119,"1:1","1976 to 1962",NA
8121,812,"n:1","1976 to 1962",24
8121,8121,"1:1","1976 to 1962",NA
8122,812,"n:1","1976 to 1962",24
8122,8122,"1:1","1976 to 1962",NA
8123,812,"n:1","1976 to 1962",24
8131,813,"n:1","1976 to 1962",25
8132,813,"n:1","1976 to 1962",25
8133,813,"n:1","1976 to 1962",25
8134,813,"n:1","1976 to 1962",25
8135,813,"n:1","1976 to 1962",25
8136,813,"n:1","1976 to 1962",25
8137,813,"n:1","1976 to 1962",25
8138,813,"n:1","1976 to 1962",25
8139,813,"n:1","1976 to 1962",25
8141,814,"n:1","1976 to 1962",26
8142,814,"n:1","1976 to 1962",26
8192,8192,"1:1","1976 to 1962",NA
8193,8193,"1:1","1976 to 1962",NA
8194,8194,"1:1","1976 to 1962",NA
8199,8199,"1:1","1976 to 1962",NA
8481,8413,"1:1","1976 to 1962",NA
8731,72951,"1:n","1976 to 1962",NA
8731,86181,"1:n","1976 to 1962",NA
8732,86182,"1:1","1976 to 1962",NA
8743,86197,"1:1","1976 to 1962",NA
8744,86198,"1:1","1976 to 1962",NA
8749,86199,"1:1","1976 to 1962",NA
8821,8623,"1:1","1976 to 1962",NA
8830,86301,"1:n","1976 to 1962",NA
8830,86309,"1:n","1976 to 1962",NA
8922,8922,"1:1","1976 to 1962",NA
8931,5812,"n:n","1976 to 1962",81
8931,8930,"n:n","1976 to 1962",81
8932,5812,"n:n","1976 to 1962",81
8932,8930,"n:n","1976 to 1962",81
8933,5812,"n:n","1976 to 1962",81
8933,8930,"n:n","1976 to 1962",81
8935,5812,"n:n","1976 to 1962",81
8935,8930,"n:n","1976 to 1962",81
8941,8941,"n:1","1976 to 1962",207
8972,8972,"1:1","1976 to 1962",NA
8974,89713,"1:1","1976 to 1962",NA
8989,8919,"1:n","1976 to 1962",NA
8989,89143,"1:n","1976 to 1962",NA
9110,9110,"1:1","1976 to 1962",NA
9141,914,"n:1","1976 to 1962",27
9149,914,"n:1","1976 to 1962",27
9310,9310,"1:1","1976 to 1962",NA
9410,9410,"1:1","1976 to 1962",NA
9610,9610,"1:1","1976 to 1962",NA
9801,138,"n:n","1976 to 1962",3
9801,533,"n:n","1976 to 1962",3
9801,3201,"n:n","1976 to 1962",3
9801,5552,"n:n","1976 to 1962",3
9802,9902,"1:1","1976 to 1962",NA
9803,9903,"1:1","1976 to 1962",NA
9804,9904,"1:1","1976 to 1962",NA
9805,9905,"1:1","1976 to 1962",NA
9806,9906,"1:1","1976 to 1962",NA
9807,9907,"1:1","1976 to 1962",NA
9808,250,"n:n","1976 to 1962",7
9808,29199,"n:n","1976 to 1962",7
9809,9909,"1:1","1976 to 1962",NA
11101,11101,"1:1","1976 to 1962",NA
11102,11102,"1:1","1976 to 1962",NA
11211,11211,"1:1","1976 to 1962",NA
11212,11212,"1:1","1976 to 1962",NA
11213,11213,"1:1","1976 to 1962",NA
11241,1124,"n:1","1976 to 1962",28
11242,1124,"n:1","1976 to 1962",28
11249,1124,"n:1","1976 to 1962",28
12111,1210,"n:1","1976 to 1962",29
12119,1210,"n:1","1976 to 1962",29
12121,1210,"n:1","1976 to 1962",29
12129,1210,"n:1","1976 to 1962",29
21191,2118,"1:1","1976 to 1962",NA
21199,2119,"1:1","1976 to 1962",NA
21201,2120,"n:1","1976 to 1962",30
21209,2120,"n:1","1976 to 1962",30
23201,2311,"n:1","1976 to 1962",32
23202,2311,"n:1","1976 to 1962",32
23203,2311,"n:1","1976 to 1962",32
23311,2312,"n:1","1976 to 1962",33
23312,2312,"n:1","1976 to 1962",33
23313,2312,"n:1","1976 to 1962",33
23314,2312,"n:1","1976 to 1962",33
23315,2312,"n:1","1976 to 1962",33
23316,2312,"n:1","1976 to 1962",33
23319,2312,"n:1","1976 to 1962",33
23321,2313,"1:1","1976 to 1962",NA
23322,2314,"1:1","1976 to 1962",NA
24401,24401,"1:1","1976 to 1962",NA
24402,24402,"1:1","1976 to 1962",NA
24501,2411,"n:1","1976 to 1962",34
24502,2412,"1:1","1976 to 1962",NA
24601,2421,"1:1","1976 to 1962",NA
24602,63183,"n:1","1976 to 1962",35
24603,2411,"n:1","1976 to 1962",34
24711,24221,"1:1","1976 to 1962",NA
24712,24222,"1:1","1976 to 1962",NA
24721,24231,"1:1","1976 to 1962",NA
24722,24232,"1:1","1976 to 1962",NA
24821,24321,"1:1","1976 to 1962",NA
24822,24322,"1:1","1976 to 1962",NA
24831,24331,"1:1","1976 to 1962",NA
24832,24332,"1:1","1976 to 1962",NA
25171,25171,"1:1","1976 to 1962",NA
25172,25172,"1:1","1976 to 1962",NA
25181,25181,"1:1","1976 to 1962",NA
25182,25182,"1:1","1976 to 1962",NA
25191,2519,"1:1","1976 to 1962",NA
25192,2515,"1:1","1976 to 1962",NA
26141,2611,"1:1","1976 to 1962",NA
26142,2612,"1:1","1976 to 1962",NA
26511,2651,"n:1","1976 to 1962",37
26512,2651,"n:1","1976 to 1962",37
26513,2651,"n:1","1976 to 1962",37
26514,2653,"1:1","1976 to 1962",NA
26591,2658,"n:1","1976 to 1962",36
26599,2640,"n:1","1976 to 1962",36
26651,26621,"n:1","1976 to 1962",38
26652,26621,"n:1","1976 to 1962",38
26653,26621,"n:1","1976 to 1962",38
26659,26621,"n:1","1976 to 1962",38
26661,26622,"n:1","1976 to 1962",39
26662,26622,"n:1","1976 to 1962",39
26663,26622,"n:1","1976 to 1962",39
26669,26622,"n:1","1976 to 1962",39
26671,26623,"n:1","1976 to 1962",40
26672,26623,"n:1","1976 to 1962",40
26673,26623,"n:1","1976 to 1962",40
26679,26623,"n:1","1976 to 1962",40
26711,26631,"1:1","1976 to 1962",NA
26712,26632,"1:1","1976 to 1962",NA
26713,26633,"1:1","1976 to 1962",NA
26721,2664,"n:1","1976 to 1962",41
26722,2664,"n:1","1976 to 1962",41
26851,26251,"1:1","1976 to 1962",NA
26859,26259,"1:1","1976 to 1962",NA
26861,2629,"1:1","1976 to 1962",NA
26862,2626,"1:1","1976 to 1962",NA
26901,26701,"1:1","1976 to 1962",NA
26902,26702,"1:1","1976 to 1962",NA
27131,2713,"n:1","1976 to 1962",42
27132,2713,"n:1","1976 to 1962",42
27311,27311,"1:1","1976 to 1962",NA
27312,27312,"1:1","1976 to 1962",NA
27313,27313,"1:1","1976 to 1962",NA
27322,27322,"1:1","1976 to 1962",NA
27323,27321,"n:1","1976 to 1962",43
27324,27321,"n:1","1976 to 1962",43
27721,27521,"1:1","1976 to 1962",NA
27722,27523,"1:1","1976 to 1962",NA
27821,27621,"1:1","1976 to 1962",NA
27822,27622,"1:1","1976 to 1962",NA
27823,27623,"1:1","1976 to 1962",NA
27824,27624,"1:1","1976 to 1962",NA
27851,27651,"1:1","1976 to 1962",NA
27852,27652,"1:1","1976 to 1962",NA
27853,27653,"1:1","1976 to 1962",NA
27854,27654,"1:1","1976 to 1962",NA
27861,27661,"1:1","1976 to 1962",NA
27862,27662,"1:1","1976 to 1962",NA
27891,27691,"1:1","1976 to 1962",NA
27892,27693,"1:1","1976 to 1962",NA
27893,27695,"1:1","1976 to 1962",NA
27894,27697,"1:1","1976 to 1962",NA
27895,27522,"1:1","1976 to 1962",NA
27896,2761,"1:1","1976 to 1962",NA
