code.after,code.before,Relationship,adjustment
2231,2231,1:1,1988 to 1976
2232,2232,1:1,1988 to 1976
2234,2234,1:1,1988 to 1976
2235,2235,1:1,1988 to 1976
2237,2238,n:1,1988 to 1976
2239,2239,1:1,1988 to 1976
2311,2320,n:n,1988 to 1976
2311,6210,n:n,1988 to 1976
2312,2320,n:n,1988 to 1976
2312,6210,n:n,1988 to 1976
2313,2320,n:n,1988 to 1976
2313,6210,n:n,1988 to 1976
2321,2331,n:n,1988 to 1976
2321,6210,n:n,1988 to 1976
2321,2320,n:n,1988 to 1976
2322,2332,1:1,1988 to 1976
2440,2440,1:1,1988 to 1976
2450,2450,1:1,1988 to 1976
2461,2460,n:1,1988 to 1976
2462,2460,n:1,1988 to 1976
2473,2471,n:n,1988 to 1976
2473,2472,n:n,1988 to 1976
2473,2479,n:n,1988 to 1976
2474,2460,n:n,1988 to 1976
2474,2471,n:n,1988 to 1976
2474,2479,n:n,1988 to 1976
2475,2472,n:n,1988 to 1976
2475,2460,n:n,1988 to 1976
2475,2479,n:n,1988 to 1976
2481,2481,1:1,1988 to 1976
2482,2482,n:n,1988 to 1976
2482,6359,n:n,1988 to 1976
2483,2482,n:n,1988 to 1976
2483,6349,n:n,1988 to 1976
2483,6359,n:n,1988 to 1976
2484,2483,n:n,1988 to 1976
2484,6359,n:n,1988 to 1976
2485,2483,n:n,1988 to 1976
2485,6349,n:n,1988 to 1976
2485,6359,n:n,1988 to 1976
2511,2511,1:1,1988 to 1976
2512,2512,1:1,1988 to 1976
2513,2516,1:1,1988 to 1976
2514,2517,n:1,1988 to 1976
2515,2517,n:1,1988 to 1976
2516,2518,1:1,1988 to 1976
2519,2519,1:1,1988 to 1976
2613,2613,1:1,1988 to 1976
2614,2614,1:1,1988 to 1976
2631,2631,1:1,1988 to 1976
2632,2632,1:1,1988 to 1976
2633,2633,1:1,1988 to 1976
2634,2634,1:1,1988 to 1976
2641,2640,n:1,1988 to 1976
2649,2640,n:1,1988 to 1976
2651,2651,n:1,1988 to 1976
2652,2652,1:1,1988 to 1976
2654,2654,1:1,1988 to 1976
2655,2655,1:1,1988 to 1976
2657,2659,n:1,1988 to 1976
2658,2651,n:n,1988 to 1976
2658,2659,n:n,1988 to 1976
2665,2665,1:1,1988 to 1976
2666,2666,1:1,1988 to 1976
2667,2667,1:1,1988 to 1976
2671,2671,1:1,1988 to 1976
2672,2672,1:1,1988 to 1976
2681,2681,1:1,1988 to 1976
2682,2682,1:1,1988 to 1976
2683,2683,1:1,1988 to 1976
2685,2685,1:1,1988 to 1976
2686,2686,1:1,1988 to 1976
2687,2687,1:n,1988 to 1976
2687,6512,n:n,1988 to 1976
2690,2690,1:1,1988 to 1976
2721,2711,1:n,1988 to 1976
2721,5629,n:n,1988 to 1976
2722,2712,1:n,1988 to 1976
2722,5232,n:n,1988 to 1976
2723,2713,1:1,1988 to 1976
2724,2714,1:1,1988 to 1976
2731,2731,1:1,1988 to 1976
2732,2732,1:n,1988 to 1976
2732,5989,n:n,1988 to 1976
2733,2733,1:1,1988 to 1976
2734,2734,1:1,1988 to 1976
2741,2741,1:1,1988 to 1976
2742,2742,1:1,1988 to 1976
2771,2771,1:1,1988 to 1976
2772,2772,1:1,1988 to 1976
2782,2782,1:1,1988 to 1976
2783,2783,1:1,1988 to 1976
2784,2784,1:1,1988 to 1976
2785,2785,1:1,1988 to 1976
2786,2786,1:n,1988 to 1976
2786,5623,n:n,1988 to 1976
2786,5629,n:n,1988 to 1976
2789,2789,1:1,1988 to 1976
2814,2814,1:1,1988 to 1976
2815,2815,1:1,1988 to 1976
2816,2816,1:1,1988 to 1976
2821,2820,n:1,1988 to 1976
2822,2820,n:1,1988 to 1976
2823,2820,n:n,1988 to 1976
2823,6724,n:n,1988 to 1976
2831,2871,n:1,1988 to 1976
2832,2871,n:1,1988 to 1976
2841,2872,n:1,1988 to 1976
2842,2872,n:1,1988 to 1976
2851,2873,n:1,1988 to 1976
2852,2873,n:1,1988 to 1976
2861,2860,n:1,1988 to 1976
2862,2860,n:1,1988 to 1976
2874,2874,1:1,1988 to 1976
2875,2875,1:1,1988 to 1976
2876,2876,1:1,1988 to 1976
2877,2877,1:1,1988 to 1976
2878,2879,n:1,1988 to 1976
2879,2879,n:1,1988 to 1976
2881,2881,1:1,1988 to 1976
2882,2882,1:1,1988 to 1976
2891,2890,n:1,1988 to 1976
2892,2890,n:1,1988 to 1976
2911,2911,1:1,1988 to 1976
