code.after,code.before,Relationship,adjustment
5839,5812,n:1,1976 to 1962
5841,5813,n:1,1976 to 1962
5842,5813,n:1,1976 to 1962
5843,5813,n:1,1976 to 1962
5849,5813,n:1,1976 to 1962
5851,5819,n:1,1976 to 1962
5852,5819,n:1,1976 to 1962
5911,5992,n:1,1976 to 1962
5912,5992,n:1,1976 to 1962
5913,5992,n:1,1976 to 1962
5914,5992,n:1,1976 to 1962
5921,5995,n:1,1976 to 1962
5922,5995,n:1,1976 to 1962
5981,5996,1:1,1976 to 1962
5982,5997,n:1,1976 to 1962
5983,5997,n:1,1976 to 1962
5989,5997,n:n,1976 to 1962
5989,5999,n:n,1976 to 1962
5989,5213,1:n,1976 to 1962
6112,6112,1:1,1976 to 1962
6113,6113,1:1,1976 to 1962
6114,6114,1:1,1976 to 1962
6115,6119,n:1,1976 to 1962
6116,6119,n:1,1976 to 1962
6118,6119,n:1,1976 to 1962
6121,6121,1:1,1976 to 1962
6122,6122,1:1,1976 to 1962
6123,6123,1:1,1976 to 1962
6129,6129,1:1,1976 to 1962
6130,6130,1:1,1976 to 1962
6210,6210,1:1,1976 to 1962
6251,6291,n:1,1976 to 1962
6252,6291,n:1,1976 to 1962
6253,6291,n:1,1976 to 1962
6254,6291,n:1,1976 to 1962
6259,6291,n:1,1976 to 1962
6281,6293,1:1,1976 to 1962
6282,6294,1:1,1976 to 1962
6289,6299,1:1,1976 to 1962
6330,6330,1:1,1976 to 1962
6341,6311,1:1,1976 to 1962
6342,6312,n:1,1976 to 1962
6343,6314,1:1,1976 to 1962
6344,6312,n:1,1976 to 1962
6349,6318,n:1,1976 to 1962
6351,6321,1:1,1976 to 1962
6352,6318,n:n,1976 to 1962
6352,6322,1:n,1976 to 1962
6353,6324,1:1,1976 to 1962
6354,6327,1:1,1976 to 1962
6359,6328,1:n,1976 to 1962
6359,6318,n:n,1976 to 1962
6411,6411,1:1,1976 to 1962
6412,6412,1:n,1976 to 1962
6412,6417,1:n,1976 to 1962
6412,6419,n:n,1976 to 1962
6413,6413,1:1,1976 to 1962
6415,6414,1:n,1976 to 1962
6415,6415,1:n,1976 to 1962
6415,6419,n:n,1976 to 1962
6416,6416,1:1,1976 to 1962
6417,6419,n:1,1976 to 1962
6418,6419,n:1,1976 to 1962
6419,6419,n:1,1976 to 1962
6421,6421,1:1,1976 to 1962
6422,6422,1:1,1976 to 1962
6423,6423,1:1,1976 to 1962
6424,6429,n:1,1976 to 1962
6428,6429,n:1,1976 to 1962
6511,6511,1:1,1976 to 1962
6512,2628,1:n,1976 to 1962
6512,6512,1:n,1976 to 1962
6513,6513,1:n,1976 to 1962
6513,6516,n:n,1976 to 1962
6514,6516,n:1,1976 to 1962
6515,6516,n:1,1976 to 1962
6516,6516,n:n,1976 to 1962
6517,6517,n:1,1976 to 1962
6518,6517,n:1,1976 to 1962
6519,6519,1:n,1976 to 1962
6519,6518,1:n,1976 to 1962
6519,6515,1:n,1976 to 1962
6521,6521,1:1,1976 to 1962
6522,6522,1:1,1976 to 1962
6531,6535,n:1,1976 to 1962
6532,6535,n:1,1976 to 1962
6534,6535,n:1,1976 to 1962
6535,6536,n:1,1976 to 1962
6536,6536,n:1,1976 to 1962
6538,6536,n:1,1976 to 1962
6539,6535,n:n,1976 to 1962
6539,6536,n:n,1976 to 1962
6541,6531,n:1,1976 to 1962
6542,6532,n:1,1976 to 1962
6543,6532,n:1,1976 to 1962
6544,6533,n:1,1976 to 1962
6545,6534,1:n,1976 to 1962
6545,6539,n:n,1976 to 1962
6546,6538,1:1,1976 to 1962
6549,6539,n:n,1976 to 1962
6549,6533,n:n,1976 to 1962
6549,6531,n:n,1976 to 1962
6551,6537,n:1,1976 to 1962
6552,6537,n:1,1976 to 1962
6553,8414,n:1,1976 to 1962
6560,6540,1:1,1976 to 1962
6571,6551,n:1,1976 to 1962
6572,6554,n:1,1976 to 1962
