code.after,code.before,Relationship,adjustment
29298,29299,1:n,1976 to 1962
3221,3214,n:1,1976 to 1962
3222,3214,n:1,1976 to 1962
3223,3216,n:1,1976 to 1962
3224,3217,n:1,1976 to 1962
32311,3215,1:1,1976 to 1962
32312,3216,n:1,1976 to 1962
32313,3217,n:1,1976 to 1962
32321,3218,n:n,1976 to 1962
32321,51328,1:n,1976 to 1962
32322,3218,n:1,1976 to 1962
3330,33101,1:1,1976 to 1962
33411,3321,n:1,1976 to 1962
33412,3322,n:1,1976 to 1962
33419,3321,n:1,1976 to 1962
33421,3322,n:1,1976 to 1962
33429,3322,n:1,1976 to 1962
3343,3323,1:1,1976 to 1962
3344,33102,1:n,1976 to 1962
3344,3324,1:n,1976 to 1962
33451,33251,1:n,1976 to 1962
33451,33291,1:n,1976 to 1962
33452,33252,1:1,1976 to 1962
33511,33261,1:1,1976 to 1962
33512,33262,1:1,1976 to 1962
33521,5211,1:1,1976 to 1962
33522,5214,n:1,1976 to 1962
33523,5214,n:1,1976 to 1962
33524,5214,n:1,1976 to 1962
33525,5214,n:1,1976 to 1962
33531,33292,1:1,1976 to 1962
33532,33293,1:1,1976 to 1962
33541,33295,1:1,1976 to 1962
33542,33294,1:1,1976 to 1962
33543,33296,1:1,1976 to 1962
34131,3411,n:1,1976 to 1962
34139,3411,n:1,1976 to 1962
3414,3411,n:1,1976 to 1962
3415,3412,1:1,1976 to 1962
3510,3510,1:1,1976 to 1962
41111,4111,n:1,1976 to 1962
41112,4111,n:1,1976 to 1962
41113,4111,n:1,1976 to 1962
41131,41131,1:1,1976 to 1962
41132,41132,1:1,1976 to 1962
41133,41133,1:1,1976 to 1962
41134,41134,1:1,1976 to 1962
41139,41139,1:1,1976 to 1962
4232,4212,1:1,1976 to 1962
4233,4213,1:1,1976 to 1962
4234,4214,1:1,1976 to 1962
4235,4215,1:1,1976 to 1962
4236,4216,1:1,1976 to 1962
42391,4217,1:1,1976 to 1962
42392,4229,n:1,1976 to 1962
4241,4221,1:1,1976 to 1962
4242,4222,1:1,1976 to 1962
4243,4223,1:1,1976 to 1962
4244,4224,1:1,1976 to 1962
4245,4225,1:1,1976 to 1962
4249,4229,n:1,1976 to 1962
4311,4311,1:1,1976 to 1962
4312,4312,1:1,1976 to 1962
43131,43131,1:1,1976 to 1962
43133,41135,1:n,1976 to 1962
43133,43132,1:n,1976 to 1962
43143,43143,1:1,1976 to 1962
43144,43141,1:n,1976 to 1962
43144,43142,1:n,1976 to 1962
51111,51212,n:1,1976 to 1962
51112,51212,n:1,1976 to 1962
51113,51212,n:1,1976 to 1962
51119,51212,n:1,1976 to 1962
51121,51212,n:1,1976 to 1962
51122,51212,n:1,1976 to 1962
51123,51212,n:1,1976 to 1962
51124,51212,n:1,1976 to 1962
51125,51211,1:1,1976 to 1962
51126,51212,n:1,1976 to 1962
51129,51212,n:1,1976 to 1962
51131,51213,n:1,1976 to 1962
51132,51213,n:1,1976 to 1962
51133,51213,n:1,1976 to 1962
51139,51213,n:1,1976 to 1962
5114,51214,1:1,1976 to 1962
51211,51221,1:1,1976 to 1962
51212,51222,n:1,1976 to 1962
51213,51222,n:1,1976 to 1962
51214,51222,n:1,1976 to 1962
51215,51222,n:1,1976 to 1962
51216,51224,1:1,1976 to 1962
51217,51225,1:1,1976 to 1962
51218,51226,1:1,1976 to 1962
51219,51222,n:1,1976 to 1962
5122,51223,1:1,1976 to 1962
51234,51227,n:1,1976 to 1962
51235,51227,n:1,1976 to 1962
51236,51227,n:1,1976 to 1962
51237,51228,1:1,1976 to 1962
51371,51251,n:1,1976 to 1962
51372,51251,n:1,1976 to 1962
51373,51251,n:1,1976 to 1962
51379,51251,n:1,1976 to 1962
51381,51252,n:1,1976 to 1962
51382,51252,n:1,1976 to 1962
51383,51252,n:1,1976 to 1962
51384,51252,n:1,1976 to 1962
51389,51252,n:1,1976 to 1962
5139,51253,1:1,1976 to 1962
5145,51271,1:1,1976 to 1962
5146,51272,1:1,1976 to 1962
5147,51274,n:1,1976 to 1962
51481,51273,1:1,1976 to 1962
51482,51275,1:1,1976 to 1962
51483,51276,n:1,1976 to 1962
51484,51276,n:1,1976 to 1962
51485,51277,1:1,1976 to 1962
51486,51278,1:1,1976 to 1962
51489,51279,1:1,1976 to 1962
5154,51281,1:1,1976 to 1962
51551,51283,1:1,1976 to 1962
51559,51282,1:n,1976 to 1962
51559,51284,1:n,1976 to 1962
51561,51285,n:1,1976 to 1962
51569,51285,n:1,1976 to 1962
51571,51286,1:1,1976 to 1962
51572,51287,1:1,1976 to 1962
51611,51231,1:1,1976 to 1962
51612,51233,1:1,1976 to 1962
51613,51232,n:1,1976 to 1962
51614,51232,n:1,1976 to 1962
51619,51232,n:1,1976 to 1962
51621,51241,1:1,1976 to 1962
51622,51242,1:1,1976 to 1962
51623,51243,n:1,1976 to 1962
51624,51243,n:1,1976 to 1962
51629,51243,n:1,1976 to 1962
51631,51263,1:1,1976 to 1962
51639,51261,1:n,1976 to 1962
51639,51262,1:n,1976 to 1962
51639,51264,1:n,1976 to 1962
51639,51269,1:n,1976 to 1962
51691,51291,1:1,1976 to 1962
51692,51292,1:1,1976 to 1962
51699,51299,1:1,1976 to 1962
52211,51311,1:n,1976 to 1962
52211,51312,1:n,1976 to 1962
52211,51313,1:n,1976 to 1962
52212,51324,1:1,1976 to 1962
52213,51321,1:1,1976 to 1962
52214,51322,1:1,1976 to 1962
52215,51323,1:1,1976 to 1962
52216,51325,1:1,1976 to 1962
52217,51326,1:1,1976 to 1962
52218,51327,1:1,1976 to 1962
52221,51331,1:1,1976 to 1962
52222,51333,1:1,1976 to 1962
52223,51334,1:1,1976 to 1962
52224,51335,1:1,1976 to 1962
52225,51337,1:1,1976 to 1962
52229,51332,1:n,1976 to 1962
52229,51336,1:n,1976 to 1962
52229,51339,1:n,1976 to 1962
52231,51341,1:1,1976 to 1962
52232,51342,1:1,1976 to 1962
52241,51351,1:1,1976 to 1962
52242,51367,1:1,1976 to 1962
52243,51352,1:1,1976 to 1962
52244,51353,1:1,1976 to 1962
52245,51354,1:1,1976 to 1962
52246,51355,1:1,1976 to 1962
52247,51356,1:1,1976 to 1962
52251,51361,1:1,1976 to 1962
52252,51362,n:1,1976 to 1962
52253,51362,n:1,1976 to 1962
52254,51363,1:1,1976 to 1962
52255,51364,1:1,1976 to 1962
52256,51365,n:1,1976 to 1962
52257,51366,1:1,1976 to 1962
52259,51368,1:n,1976 to 1962
52259,51369,1:n,1976 to 1962
52311,51411,1:1,1976 to 1962
52312,51412,1:1,1976 to 1962
52313,51413,1:1,1976 to 1962
52314,51414,1:1,1976 to 1962
52315,51421,1:1,1976 to 1962
52316,51422,1:1,1976 to 1962
52317,51423,1:1,1976 to 1962
52318,51424,n:1,1976 to 1962
52319,51424,n:1,1976 to 1962
52321,51425,1:1,1976 to 1962
52322,51426,1:1,1976 to 1962
52323,51428,1:1,1976 to 1962
52324,51429,1:1,1976 to 1962
52325,51431,1:1,1976 to 1962
52326,51432,1:1,1976 to 1962
52327,51433,1:1,1976 to 1962
