,code.before,code.after,Relationship,adjustment
308,327122,327120,n:1,2007 to 2012
309,327123,327120,n:1,2007 to 2012
310,327124,327120,n:1,2007 to 2012
311,327125,327120,n:1,2007 to 2012
312,327211,327211,1:1,2007 to 2012
313,327212,327212,1:1,2007 to 2012
314,327213,327213,1:1,2007 to 2012
315,327215,327215,1:1,2007 to 2012
316,327310,327310,1:1,2007 to 2012
317,327320,327320,1:1,2007 to 2012
318,327331,327331,1:1,2007 to 2012
319,327332,327332,1:1,2007 to 2012
320,327390,327390,1:1,2007 to 2012
321,327410,327410,1:1,2007 to 2012
322,327420,327420,1:1,2007 to 2012
323,327910,327910,1:1,2007 to 2012
324,327991,327991,1:1,2007 to 2012
325,327992,327992,1:1,2007 to 2012
326,327993,327993,1:1,2007 to 2012
327,327999,327999,1:1,2007 to 2012
328,331111,331110,n:1,2007 to 2012
329,331112,331110,n:1,2007 to 2012
330,331210,331210,1:1,2007 to 2012
331,331221,331221,1:1,2007 to 2012
332,331222,331222,1:1,2007 to 2012
333,331311,331313,n:1,2007 to 2012
334,331312,331313,n:1,2007 to 2012
335,331314,331314,1:1,2007 to 2012
336,331315,331315,1:1,2007 to 2012
337,331316,331318,n:1,2007 to 2012
338,331319,331318,n:1,2007 to 2012
339,331411,331410,n:1,2007 to 2012
340,331419,331410,n:1,2007 to 2012
341,331421,331420,n:1,2007 to 2012
342,331422,331420,n:1,2007 to 2012
343,331423,331420,n:1,2007 to 2012
344,331491,331491,1:1,2007 to 2012
345,331492,331492,1:1,2007 to 2012
346,331511,331511,1:1,2007 to 2012
347,331512,331512,1:1,2007 to 2012
348,331513,331513,1:1,2007 to 2012
349,331521,331523,n:1,2007 to 2012
350,331522,331523,n:1,2007 to 2012
351,331524,331524,1:1,2007 to 2012
352,331525,331529,n:1,2007 to 2012
353,331528,331529,n:1,2007 to 2012
354,332111,332111,1:1,2007 to 2012
355,332112,332112,1:1,2007 to 2012
356,332114,332114,1:1,2007 to 2012
